"","X","Time","Category","Index_Region","Index_Estimate","Index_SD","Date","Year","Season","YearGroup","Period"
"1",1,0,1,"Sable",310829.080879583,75998.619617649,"0-06-24",1990,"Spring",1,"1990-2005"
"2",2,0,1,"Gully",204412.386182475,55712.7636940204,"0-06-21",1990,"Spring",1,"1990-2005"
"3",3,0,1,"BOF",65639.1883340919,25103.8730617348,"0-07-16",1990,"Spring",1,"1990-2005"
"4",4,0,1,"Browns",301203.526332615,95079.8927418881,"0-06-21",1990,"Spring",1,"1990-2005"
"5",5,0,1,"CapeCod",12904.4544238742,5769.47429081043,"0-07-14",1990,"Spring",1,"1990-2005"
"6",6,0,1,"Nantucket",14562.2322463073,6130.3390436134,"0-07-03",1990,"Spring",1,"1990-2005"
"7",7,0,1,"EGOM",42894.1239585376,16249.7526733685,"0-06-09",1990,"Spring",1,"1990-2005"
"8",8,0,1,"Georges",34350.8171632775,10743.4825854981,"0-05-24",1990,"Spring",1,"1990-2005"
"9",9,0,1,"CapeBreton",15223.9924927317,7991.4883551534,"0-05-06",1990,"Spring",1,"1990-2005"
"10",10,0,1,"HaliChan",49577.0060951437,25678.3872958009,"0-06-29",1990,"Spring",1,"1990-2005"
"11",11,0,1,"GrandBanks",69769.8418759046,33353.1649166869,"0-07-12",1990,"Spring",1,"1990-2005"
"12",12,0,1,"GBTail",16424.2987901501,8178.30517332631,"0-05-06",1990,"Spring",1,"1990-2005"
"49",49,4,1,"Sable",254929.405330485,62062.5350068379,"3-05-25",1991,"Spring",2,"1990-2005"
"50",50,4,1,"Gully",252311.766620396,61350.8426912876,"3-07-06",1991,"Spring",2,"1990-2005"
"51",51,4,1,"BOF",64566.0871970576,23129.1030173729,"3-07-10",1991,"Spring",2,"1990-2005"
"52",52,4,1,"Browns",190785.934306869,48513.3954108398,"3-06-03",1991,"Spring",2,"1990-2005"
"53",53,4,1,"CapeCod",10035.2708988329,4693.40379794689,"3-07-05",1991,"Spring",2,"1990-2005"
"54",54,4,1,"Nantucket",13369.5405265442,6282.54940298297,"3-05-01",1991,"Spring",2,"1990-2005"
"55",55,4,1,"EGOM",42749.1692346647,18212.9195153852,"3-07-07",1991,"Spring",2,"1990-2005"
"56",56,4,1,"Georges",20549.7167421781,7577.8498456794,"3-05-17",1991,"Spring",2,"1990-2005"
"57",57,4,1,"CapeBreton",16047.6452376275,8041.19340754118,"3-06-15",1991,"Spring",2,"1990-2005"
"58",58,4,1,"HaliChan",32937.9670746145,18460.5876683446,"3-07-22",1991,"Spring",2,"1990-2005"
"59",59,4,1,"GrandBanks",60034.8939962448,30933.372962349,"3-06-30",1991,"Spring",2,"1990-2005"
"60",60,4,1,"GBTail",14794.8354051591,7889.72305096081,"3-05-27",1991,"Spring",2,"1990-2005"
"73",73,6,1,"Sable",225563.662724273,59093.4436565458,"6-06-10",1992,"Spring",3,"1990-2005"
"74",74,6,1,"Gully",194878.804371771,51653.2132306024,"6-05-10",1992,"Spring",3,"1990-2005"
"75",75,6,1,"BOF",64682.7331834911,25670.7093561755,"6-05-20",1992,"Spring",3,"1990-2005"
"76",76,6,1,"Browns",229914.298195176,76043.0685955254,"6-06-27",1992,"Spring",3,"1990-2005"
"77",77,6,1,"CapeCod",11174.8964738092,5008.28980204303,"6-05-02",1992,"Spring",3,"1990-2005"
"78",78,6,1,"Nantucket",14129.4340502568,6125.19069921173,"6-05-27",1992,"Spring",3,"1990-2005"
"79",79,6,1,"EGOM",45779.7314050975,17739.5670011933,"6-07-21",1992,"Spring",3,"1990-2005"
"80",80,6,1,"Georges",17451.4999669525,5719.08067659552,"6-07-16",1992,"Spring",3,"1990-2005"
"81",81,6,1,"CapeBreton",16976.1319706069,8783.6783171154,"6-05-08",1992,"Spring",3,"1990-2005"
"82",82,6,1,"HaliChan",58194.8035748174,31802.0412345927,"6-05-20",1992,"Spring",3,"1990-2005"
"83",83,6,1,"GrandBanks",38446.3932630699,18386.6060747526,"6-06-27",1992,"Spring",3,"1990-2005"
"84",84,6,1,"GBTail",17313.1075968702,9013.08368787241,"6-05-20",1992,"Spring",3,"1990-2005"
"109",109,9,1,"Sable",236099.746156885,67423.1773265641,"9-05-12",1993,"Spring",4,"1990-2005"
"110",110,9,1,"Gully",202860.998437069,48416.6583462569,"9-07-12",1993,"Spring",4,"1990-2005"
"111",111,9,1,"BOF",50848.2609600129,19809.8620462196,"9-05-21",1993,"Spring",4,"1990-2005"
"112",112,9,1,"Browns",220626.640171753,73779.4154909824,"9-05-10",1993,"Spring",4,"1990-2005"
"113",113,9,1,"CapeCod",7972.11340204098,3594.82315216747,"9-06-22",1993,"Spring",4,"1990-2005"
"114",114,9,1,"Nantucket",8565.2685080462,3806.98736796521,"9-07-29",1993,"Spring",4,"1990-2005"
"115",115,9,1,"EGOM",33128.5242594738,13326.6894590708,"9-05-18",1993,"Spring",4,"1990-2005"
"116",116,9,1,"Georges",13131.8443212863,4552.95974054072,"9-07-20",1993,"Spring",4,"1990-2005"
"117",117,9,1,"CapeBreton",18828.3774235919,9118.90247803005,"9-06-05",1993,"Spring",4,"1990-2005"
"118",118,9,1,"HaliChan",29246.0322576019,15281.5320859055,"9-05-29",1993,"Spring",4,"1990-2005"
"119",119,9,1,"GrandBanks",31857.9110347027,15229.3827777082,"9-07-01",1993,"Spring",4,"1990-2005"
"120",120,9,1,"GBTail",11505.7384195369,6061.09700182574,"9-06-09",1993,"Spring",4,"1990-2005"
"145",145,12,1,"Sable",187233.872817839,48303.192911947,"12-06-28",1994,"Spring",5,"1990-2005"
"146",146,12,1,"Gully",153067.678715529,40542.810302491,"12-06-23",1994,"Spring",5,"1990-2005"
"147",147,12,1,"BOF",46247.9824372927,18388.912374271,"12-07-10",1994,"Spring",5,"1990-2005"
"148",148,12,1,"Browns",184377.657784785,61983.4108604615,"12-06-14",1994,"Spring",5,"1990-2005"
"149",149,12,1,"CapeCod",7166.17254848841,3247.73205094927,"12-05-06",1994,"Spring",5,"1990-2005"
"150",150,12,1,"Nantucket",7275.9764650856,3421.45664587576,"12-05-29",1994,"Spring",5,"1990-2005"
"151",151,12,1,"EGOM",30851.4450710562,12130.403731282,"12-05-01",1994,"Spring",5,"1990-2005"
"152",152,12,1,"Georges",11534.2715413494,3993.58182361901,"12-05-07",1994,"Spring",5,"1990-2005"
"153",153,12,1,"CapeBreton",19277.5796330911,8960.38069400319,"12-06-06",1994,"Spring",5,"1990-2005"
"154",154,12,1,"HaliChan",26873.3833560897,13304.9333396163,"12-06-01",1994,"Spring",5,"1990-2005"
"155",155,12,1,"GrandBanks",45152.0154675716,21174.9882896803,"12-05-20",1994,"Spring",5,"1990-2005"
"156",156,12,1,"GBTail",11080.6852605833,5814.98459719388,"12-06-09",1994,"Spring",5,"1990-2005"
"181",181,15,1,"Sable",222497.67107413,57819.7264210199,"15-05-12",1995,"Spring",6,"1990-2005"
"182",182,15,1,"Gully",387963.376048892,89519.2435159169,"15-06-12",1995,"Spring",6,"1990-2005"
"183",183,15,1,"BOF",45966.1229584192,18235.3744064145,"15-07-15",1995,"Spring",6,"1990-2005"
"184",184,15,1,"Browns",165860.980015405,56503.1378342042,"15-07-24",1995,"Spring",6,"1990-2005"
"185",185,15,1,"CapeCod",7016.0435789438,3187.75099376968,"15-06-05",1995,"Spring",6,"1990-2005"
"186",186,15,1,"Nantucket",11952.4764792711,6001.04373352959,"15-07-07",1995,"Spring",6,"1990-2005"
"187",187,15,1,"EGOM",33727.2258634872,12884.2335862106,"15-06-22",1995,"Spring",6,"1990-2005"
"188",188,15,1,"Georges",11530.2207819165,4051.7897892277,"15-05-08",1995,"Spring",6,"1990-2005"
"189",189,15,1,"CapeBreton",23180.1600925818,10195.4866750103,"15-06-09",1995,"Spring",6,"1990-2005"
"190",190,15,1,"HaliChan",32922.9449472956,16352.6220171902,"15-07-28",1995,"Spring",6,"1990-2005"
"191",191,15,1,"GrandBanks",36910.1046645502,17474.6260302927,"15-05-28",1995,"Spring",6,"1990-2005"
"192",192,15,1,"GBTail",9135.20505073631,4906.56609311269,"15-07-12",1995,"Spring",6,"1990-2005"
"217",217,18,1,"Sable",197591.310213296,56168.245783204,"18-07-03",1996,"Spring",7,"1990-2005"
"218",218,18,1,"Gully",204607.491082977,49680.0227007561,"18-07-25",1996,"Spring",7,"1990-2005"
"219",219,18,1,"BOF",50899.1366807522,18742.9156308485,"18-05-31",1996,"Spring",7,"1990-2005"
"220",220,18,1,"Browns",235099.405413089,76070.5426318939,"18-05-21",1996,"Spring",7,"1990-2005"
"221",221,18,1,"CapeCod",7491.12875135129,3363.39257924615,"18-07-06",1996,"Spring",7,"1990-2005"
"222",222,18,1,"Nantucket",6995.57033453724,3205.96535142178,"18-06-28",1996,"Spring",7,"1990-2005"
"223",223,18,1,"EGOM",37316.9090958242,14327.1045373678,"18-05-25",1996,"Spring",7,"1990-2005"
"224",224,18,1,"Georges",13117.4552969136,4577.97103191458,"18-07-18",1996,"Spring",7,"1990-2005"
"225",225,18,1,"CapeBreton",20060.2376087283,8984.62607981639,"18-06-25",1996,"Spring",7,"1990-2005"
