"","Time","Category","Index_Region","Index_Estimate","Index_SD","Date","Year","Season","YearGroup"
"1",0,1,"All",1446771.14844049,241893.305254802,0-05-27,1990,"Spring",1
"2",0,1,"USA",89418.8649899478,22686.7983160222,0-07-07,1990,"Spring",1
"3",0,1,"Canada",1357352.28345054,236093.747891127,0-05-29,1990,"Spring",1
"4",1,1,"All",1232107.01509543,203853.637874735,1-05-05,1990,"Summer",1
"5",1,1,"USA",87271.0044872632,25049.8620975967,1-05-14,1990,"Summer",1
"6",1,1,"Canada",1144836.01060817,195801.062683766,1-07-05,1990,"Summer",1
"7",2,1,"All",1234408.14225949,217174.388221798,2-07-14,1990,"Fall",1
"8",2,1,"USA",78067.6779057723,20634.0011974665,2-06-11,1990,"Fall",1
"9",2,1,"Canada",1156340.46435372,212624.341088067,2-07-20,1990,"Fall",1
"10",3,1,"All",1867643.88620974,297895.822409551,4-06-25,1991,"Summer",2
"11",3,1,"USA",108718.616686871,27205.4838107506,4-07-24,1991,"Summer",2
"12",3,1,"Canada",1758925.26952287,292129.281181292,4-05-01,1991,"Summer",2
"13",4,1,"All",1253726.58561572,213774.740836291,3-05-09,1991,"Spring",2
"14",4,1,"USA",80265.1291211422,23519.9942843584,3-06-04,1991,"Spring",2
"15",4,1,"Canada",1173461.45649458,206701.472733525,3-06-19,1991,"Spring",2
"16",5,1,"All",1048191.84195313,182454.507773878,5-07-02,1991,"Fall",2
"17",5,1,"USA",65268.1321906058,17843.7454427849,5-06-01,1991,"Fall",2
"18",5,1,"Canada",982923.709762524,178753.869671709,5-06-19,1991,"Fall",2
"19",6,1,"All",1255445.70961899,216294.697207492,6-05-15,1992,"Spring",3
"20",6,1,"USA",85720.352682466,22291.2196950919,6-07-27,1992,"Spring",3
"21",6,1,"Canada",1169725.35693653,210840.428135226,6-07-21,1992,"Spring",3
"22",7,1,"All",1063044.7697835,181351.649930027,7-06-18,1992,"Summer",3
"23",7,1,"USA",71185.8215085729,21632.0870675581,7-07-03,1992,"Summer",3
"24",7,1,"Canada",991858.948274928,175128.623274637,7-06-17,1992,"Summer",3
"25",8,1,"All",927999.878086994,164041.638556687,8-06-16,1992,"Fall",3
"26",8,1,"USA",54025.7588276911,15375.2919069689,8-07-09,1992,"Fall",3
"27",8,1,"Canada",873974.119259303,160630.398678792,8-06-23,1992,"Fall",3
"28",9,1,"All",1111694.86645287,186804.243250455,9-05-28,1993,"Spring",4
"29",9,1,"USA",59335.0356775994,16374.6401391755,9-05-02,1993,"Spring",4
"30",9,1,"Canada",1052359.83077527,183355.593866243,9-05-07,1993,"Spring",4
"31",10,1,"All",974736.448319205,173574.161627458,10-06-01,1993,"Summer",4
"32",10,1,"USA",52994.1041698993,16180.4237841876,10-06-03,1993,"Summer",4
"33",10,1,"Canada",921742.344149305,169140.738726313,10-07-09,1993,"Summer",4
"34",11,1,"All",799015.683221875,145094.110704122,11-07-17,1993,"Fall",4
"35",11,1,"USA",46474.9034174626,13432.6309161767,11-05-07,1993,"Fall",4
"36",11,1,"Canada",752540.779804413,142220.277580129,11-05-02,1993,"Fall",4
"37",12,1,"All",945636.785148087,162621.408650305,12-06-26,1994,"Spring",5
"38",12,1,"USA",53300.7590392825,14724.6177322362,12-05-20,1994,"Spring",5
"39",12,1,"Canada",892336.026108805,159376.141813749,12-05-15,1994,"Spring",5
"40",13,1,"All",807245.132139064,149135.48775368,13-06-14,1994,"Summer",5
"41",13,1,"USA",46124.0905695004,14761.9375401785,13-06-19,1994,"Summer",5
"42",13,1,"Canada",761121.041569563,143903.994121697,13-05-02,1994,"Summer",5
"43",14,1,"All",852941.63570701,158170.933945916,14-06-09,1994,"Fall",5
"44",14,1,"USA",38718.0757535971,11360.154569646,14-06-06,1994,"Fall",5
"45",14,1,"Canada",814223.559953412,155812.217544515,14-07-08,1994,"Fall",5
"46",15,1,"All",1190354.53582891,199138.377034932,15-07-03,1995,"Spring",6
"47",15,1,"USA",60874.4446140952,16360.5099880053,15-05-04,1995,"Spring",6
"48",15,1,"Canada",1129480.09121481,195677.600009797,15-05-31,1995,"Spring",6
"49",16,1,"All",987872.854730507,179616.385562013,16-07-03,1995,"Summer",6
"50",16,1,"USA",47377.0823337067,14862.0314574645,16-06-17,1995,"Summer",6
"51",16,1,"Canada",940495.772396801,175466.808986612,16-07-20,1995,"Summer",6
"52",17,1,"All",829269.241182706,154618.700350578,17-05-05,1995,"Fall",6
"53",17,1,"USA",40226.5252509382,12102.02663883,17-06-13,1995,"Fall",6
"54",17,1,"Canada",789042.715931768,152082.195484805,17-05-14,1995,"Fall",6
"55",18,1,"All",1081154.77874673,184800.119508564,18-07-10,1996,"Spring",7
"56",18,1,"USA",59933.9481011589,16701.0037994097,18-07-14,1996,"Spring",7
"57",18,1,"Canada",1021220.83064557,180947.070829083,18-06-02,1996,"Spring",7
"58",19,1,"All",933782.38609797,166896.446011742,19-05-30,1996,"Summer",7
"59",19,1,"USA",56913.0746111252,17676.8831509562,19-05-10,1996,"Summer",7
"60",19,1,"Canada",876869.311486845,161839.001573164,19-06-18,1996,"Summer",7
"61",20,1,"All",911220.831377568,168044.975810732,20-05-13,1996,"Fall",7
"62",20,1,"USA",45169.7960593331,13294.815588782,20-07-06,1996,"Fall",7
"63",20,1,"Canada",866051.035318235,165231.66737395,20-07-18,1996,"Fall",7
"64",21,1,"All",1296427.04242956,225933.593234177,21-06-30,1997,"Spring",8
"65",21,1,"USA",63182.8973625125,17017.8983081226,21-05-04,1997,"Spring",8
"66",21,1,"Canada",1233244.14506704,222224.238863115,21-05-04,1997,"Spring",8
"67",22,1,"All",957991.695214562,174642.350223701,22-07-03,1997,"Summer",8
"68",22,1,"USA",62527.9178901472,19656.7923356815,22-07-30,1997,"Summer",8
"69",22,1,"Canada",895463.777324415,169011.260051244,22-05-01,1997,"Summer",8
"70",23,1,"All",948405.907526057,174593.920907044,23-06-16,1997,"Fall",8
