"Category","Time","Stratum","Units","Estimate","Std. Error for Estimate","Std. Error for ln(Estimate)"
"1","0","Stratum_1"," [count*km2/km2]",1446771.14844049,241893.305254802,0.200630074237797
"1","1","Stratum_1"," [count*km2/km2]",1232107.01509543,203853.637874735,0.189492911479815
"1","2","Stratum_1"," [count*km2/km2]",1234408.14225949,217174.388221798,0.214520041209523
"1","3","Stratum_1"," [count*km2/km2]",1867643.88620974,297895.822409551,0.179448614815807
"1","4","Stratum_1"," [count*km2/km2]",1253726.58561572,213774.740836291,0.192591940229292
"1","5","Stratum_1"," [count*km2/km2]",1048191.84195313,182454.507773878,0.208088334559725
"1","6","Stratum_1"," [count*km2/km2]",1255445.70961899,216294.697207492,0.201270932121951
"1","7","Stratum_1"," [count*km2/km2]",1063044.7697835,181351.649930027,0.197036657193677
"1","8","Stratum_1"," [count*km2/km2]",927999.878086994,164041.638556687,0.210296574041481
"1","9","Stratum_1"," [count*km2/km2]",1111694.86645287,186804.243250455,0.190569245009006
"1","10","Stratum_1"," [count*km2/km2]",974736.448319205,173574.161627458,0.200010145729832
"1","11","Stratum_1"," [count*km2/km2]",799015.683221875,145094.110704122,0.213878750811214
"1","12","Stratum_1"," [count*km2/km2]",945636.785148087,162621.408650305,0.19383610692122
"1","13","Stratum_1"," [count*km2/km2]",807245.132139064,149135.48775368,0.207206682120428
"1","14","Stratum_1"," [count*km2/km2]",852941.63570701,158170.933945916,0.217190955280346
"1","15","Stratum_1"," [count*km2/km2]",1190354.53582891,199138.377034932,0.183230449353301
"1","16","Stratum_1"," [count*km2/km2]",987872.854730507,179616.385562013,0.202438526631105
"1","17","Stratum_1"," [count*km2/km2]",829269.241182706,154618.700350578,0.218968926703461
"1","18","Stratum_1"," [count*km2/km2]",1081154.77874673,184800.119508564,0.192401051410976
"1","19","Stratum_1"," [count*km2/km2]",933782.38609797,166896.446011742,0.199165782985459
"1","20","Stratum_1"," [count*km2/km2]",911220.831377568,168044.975810732,0.21679953165035
"1","21","Stratum_1"," [count*km2/km2]",1296427.04242956,225933.593234177,0.192758045052709
"1","22","Stratum_1"," [count*km2/km2]",957991.695214562,174642.350223701,0.202406436874007
"1","23","Stratum_1"," [count*km2/km2]",948405.907526057,174593.920907044,0.213705099967798
"1","24","Stratum_1"," [count*km2/km2]",993897.606645357,176129.633292957,0.20144767057586
"1","25","Stratum_1"," [count*km2/km2]",912698.745451174,161531.862328266,0.194929015508665
"1","26","Stratum_1"," [count*km2/km2]",878284.13812105,160293.753099193,0.210685038647725
"1","27","Stratum_1"," [count*km2/km2]",987627.804834247,161581.048683532,0.178883043728802
"1","28","Stratum_1"," [count*km2/km2]",695745.841730071,126714.408183434,0.203355622275286
"1","29","Stratum_1"," [count*km2/km2]",678157.674286343,124998.554785774,0.212374890015239
"1","30","Stratum_1"," [count*km2/km2]",885328.95290416,148697.920644323,0.183279308893138
"1","31","Stratum_1"," [count*km2/km2]",741439.852967484,133683.884365906,0.198017224811182
"1","32","Stratum_1"," [count*km2/km2]",710522.266087594,130126.062493804,0.211548124089734
"1","33","Stratum_1"," [count*km2/km2]",1001318.46174525,170520.303463484,0.188672779045735
"1","34","Stratum_1"," [count*km2/km2]",838372.485904479,142986.441532611,0.18663787069528
"1","35","Stratum_1"," [count*km2/km2]",819620.233780128,145364.176084098,0.204130617276048
"1","36","Stratum_1"," [count*km2/km2]",1000659.0330454,165847.86706869,0.183894142740757
"1","37","Stratum_1"," [count*km2/km2]",829186.140184572,143572.998704118,0.191051286032222
"1","38","Stratum_1"," [count*km2/km2]",780445.758908228,137919.842707227,0.202541676900015
"1","39","Stratum_1"," [count*km2/km2]",1127983.28548993,187576.752283462,0.183383997603754
"1","40","Stratum_1"," [count*km2/km2]",794351.385942622,139161.721200796,0.193286363258977
"1","41","Stratum_1"," [count*km2/km2]",892960.571906533,156619.442868204,0.202444846315592
"1","42","Stratum_1"," [count*km2/km2]",1069507.94638263,182687.379454861,0.195208518236178
"1","43","Stratum_1"," [count*km2/km2]",1059693.70452546,182136.748250279,0.190802613523692
"1","44","Stratum_1"," [count*km2/km2]",1017906.39387339,176361.451650101,0.20095058036104
"1","45","Stratum_1"," [count*km2/km2]",1477217.8962883,223050.850479457,0.1653862034214
"1","46","Stratum_1"," [count*km2/km2]",1266767.60454331,199077.241182073,0.173197042768461
"1","47","Stratum_1"," [count*km2/km2]",1151218.19394259,191450.84766108,0.194154550285752
"1","48","Stratum_1"," [count*km2/km2]",1728925.94562748,248861.495118882,0.159955917883021
"1","49","Stratum_1"," [count*km2/km2]",1321458.31626725,217946.424820252,0.182438583330443
"1","50","Stratum_1"," [count*km2/km2]",1276278.01705688,213332.166818543,0.194160780382786
"1","51","Stratum_1"," [count*km2/km2]",1702878.11438432,273476.92389164,0.180235983074006
"1","52","Stratum_1"," [count*km2/km2]",1656839.53213673,268607.991953072,0.178034009289299
"1","53","Stratum_1"," [count*km2/km2]",1429445.45039286,240531.559616877,0.195436048556686
"1","54","Stratum_1"," [count*km2/km2]",2011122.58008859,319874.20435391,0.174304288133399
"1","55","Stratum_1"," [count*km2/km2]",1905127.07756994,305707.950756859,0.177704411809498
"1","56","Stratum_1"," [count*km2/km2]",1803072.99043735,292177.341550068,0.187808661971818
"1","57","Stratum_1"," [count*km2/km2]",2300863.25770399,354617.089410064,0.173268724321394
"1","58","Stratum_1"," [count*km2/km2]",1960605.49895519,315080.987249278,0.178916159442654
"1","59","Stratum_1"," [count*km2/km2]",2120239.2465065,341127.040795102,0.188208878454127
"1","60","Stratum_1"," [count*km2/km2]",2673276.79270333,396547.578061005,0.163957292589331
"1","61","Stratum_1"," [count*km2/km2]",2660737.54924765,418174.28272973,0.171863878098234
"1","62","Stratum_1"," [count*km2/km2]",2539680.4084216,396552.623184827,0.181815575884228
"1","63","Stratum_1"," [count*km2/km2]",2581592.81510052,425693.727749,0.191828099803851
"1","64","Stratum_1"," [count*km2/km2]",4105978.90216979,670156.54230456,0.178095291333122
"1","65","Stratum_1"," [count*km2/km2]",2683435.8739475,433783.393366618,0.189216556246082
"1","66","Stratum_1"," [count*km2/km2]",2975655.52813056,440949.759881585,0.16512569761941
"1","67","Stratum_1"," [count*km2/km2]",2604372.05324328,415866.608833758,0.174945333792575
"1","68","Stratum_1"," [count*km2/km2]",2681920.93153458,416973.963369676,0.181345432066113
"1","69","Stratum_1"," [count*km2/km2]",2908019.49528548,457804.82197686,0.180363801444958
"1","70","Stratum_1"," [count*km2/km2]",2283536.7415605,369553.58123624,0.180406059478198
"1","71","Stratum_1"," [count*km2/km2]",2747745.3189566,450261.445212342,0.192860875286076
"1","72","Stratum_1"," [count*km2/km2]",3084643.48879391,481508.189109182,0.177771164812464
"1","73","Stratum_1"," [count*km2/km2]",2986454.33920144,507372.760118274,0.189014200025474
"1","74","Stratum_1"," [count*km2/km2]",2722416.85815846,465232.103341768,0.204446639600491
"1","75","Stratum_1"," [count*km2/km2]",3058573.01919114,481848.965402142,0.183384826844519
"1","76","Stratum_1"," [count*km2/km2]",3167509.80252495,483437.378446131,0.184373304668809
"1","77","Stratum_1"," [count*km2/km2]",2971302.84294151,483506.960811418,0.195643174960731
"1","78","Stratum_1"," [count*km2/km2]",4016024.02758084,670104.419755799,0.18847244513925
"1","79","Stratum_1"," [count*km2/km2]",3108209.4710358,479169.16582462,0.17162149779057
"1","80","Stratum_1"," [count*km2/km2]",3004359.84493621,490365.393544327,0.188797269856172
"1","81","Stratum_1"," [count*km2/km2]",3209302.86273625,531395.983568504,0.189264997430989
"1","82","Stratum_1"," [count*km2/km2]",2690044.86135681,474895.550994442,0.197728268549661
"1","83","Stratum_1"," [count*km2/km2]",2982221.82786538,508430.411500332,0.202474726684603
"1","84","Stratum_1"," [count*km2/km2]",3271051.22335903,553871.382494859,0.19449888605152
"1","85","Stratum_1"," [count*km2/km2]",3767133.72978205,704372.899877982,0.220067761140478
"1","86","Stratum_1"," [count*km2/km2]",3225387.44798651,570665.49446838,0.208912612936268
