"","Index_Region","Time","Category","Index_Estimate","Index_SD","Date","Year","Season","YearGroup","Km2","Total_Estimate","Proportion","Proportion_SD","Total_density_Estimate","All_density_SD","CA_density_Estimate","CA_density_SD","ProportionalDensity","ProportionalDensity_SD"
"1","BOF",65,1,196704.038568105,67019.0987684337,65-05-11,2011,"Fall",22,14804.1704405933,2683435.8739475,7.3,2.5,3.14739235091783,0.0786064615432288,13.2870692996576,4.52704182496212,422.2,143.8
"2","BOF",49,1,74298.9270968811,23542.3979709976,49-07-21,2006,"Summer",17,14804.1704405933,1321458.31626725,5.6,1.8,1.54993373870267,0.0276127944832084,5.01878355123176,1.59025445332917,323.8,102.6
"3","BOF",77,1,135794.205603234,42549.8431073521,77-06-16,2015,"Fall",26,14804.1704405933,2971302.84294151,4.6,1.4,3.48503049054693,0.0499065589861953,9.17269941927201,2.87417949408902,263.2,82.5
"4","BOF",50,1,71320.819729954,25518.8688731232,50-06-07,2006,"Fall",17,14804.1704405933,1276278.01705688,5.6,2,1.49694192714962,0.0299309901440613,4.81761676658295,1.72376216387985,321.8,115.2
"5","BOF",76,1,194331.22302049,47235.2501611544,76-06-11,2015,"Summer",26,14804.1704405933,3167509.80252495,6.1,1.5,3.71516093256168,0.0554020561826238,13.1267890896224,3.1906718684915,353.3,85.9
"6","BOF",51,1,98638.4016807566,33731.7858777609,52-06-04,2007,"Summer",18,14804.1704405933,1702878.11438432,5.8,2,1.99729965742547,0.0395638911610302,6.66287936068936,2.27853266166592,333.6,114.1
"7","BOF",0,1,65639.1883340919,25103.8730617348,0-07-17,1990,"Spring",1,14804.1704405933,1446771.14844049,4.5,1.7,1.69691271192243,0.029444243039311,4.43383089903559,1.69572980549451,261.3,99.9
"8","BOF",33,1,59475.0450366353,22334.9019340481,33-06-19,2001,"Spring",12,14804.1704405933,1001318.46174525,5.9,2.2,1.17444284692136,0.0261965266948272,4.01745206023525,1.50868986706647,342.1,128.5
"9","BOF",52,1,88923.5955413089,27619.8604500333,51-06-15,2007,"Spring",18,14804.1704405933,1656839.53213673,5.4,1.7,1.943301168764,0.0323952356595623,6.00665845466618,1.86568106337787,309.1,96
"10","BOF",58,1,131660.946999344,37347.1251374475,58-06-17,2009,"Summer",20,14804.1704405933,1960605.49895519,6.7,1.9,2.2995871861478,0.0438043096641827,8.8935038628255,2.52274352604324,386.7,109.7
"11","BOF",56,1,120050.139990868,37796.4596923802,56-06-04,2008,"Fall",19,14804.1704405933,1803072.99043735,6.7,2.1,2.11481786963696,0.044331332558573,8.10921087896208,2.5530954161904,383.4,120.7
"12","BOF",91,1,139873.795256501,55501.9393135739,90-06-19,2020,"Spring",31,14804.1704405933,2827944.13265366,4.9,2,3.31688557134912,0.0650980263596437,9.4482697168201,3.74907459599266,284.9,113
"13","BOF",57,1,148538.679286901,45311.4645090349,57-07-16,2009,"Spring",20,14804.1704405933,2300863.25770399,6.5,2,2.69867429593255,0.0531456548633035,10.0335699242968,3.06072296930533,371.8,113.4
"14","BOF",66,1,196167.243278159,56332.3397124039,66-06-21,2012,"Spring",23,14804.1704405933,2975655.52813056,6.6,1.9,3.49013573945673,0.0660720000211167,13.2508095651388,3.80516692498619,379.7,109
"15","BOF",13,1,49146.2176078698,19970.8070035319,13-06-13,1994,"Summer",5,14804.1704405933,807245.132139064,6.1,2.5,0.946814931885288,0.0234236881957263,3.31975491670306,1.34899872192579,350.6,142.5
"16","BOF",67,1,212156.112650049,62762.5827484703,67-07-25,2012,"Summer",23,14804.1704405933,2604372.05324328,8.1,2.4,3.05465867804166,0.073614009108327,14.3308342403512,4.23952041084141,469.1,138.8
"17","BOF",59,1,140071.517178416,47774.1934576837,59-06-04,2009,"Fall",20,14804.1704405933,2120239.2465065,6.6,2.3,2.48682103841505,0.0560341808499367,9.4616255426469,3.22707669770445,380.5,129.8
"18","BOF",78,1,169946.579323081,45228.9055843516,79-05-19,2016,"Summer",27,14804.1704405933,4016024.02758084,4.2,1.1,4.71038023610973,0.0530488217954553,11.479642172795,3.05514623503206,243.7,64.9
"19","BOF",34,1,53883.7734772612,19561.1910663154,34-07-16,2001,"Summer",12,14804.1704405933,838372.485904479,6.4,2.3,0.983324093925169,0.0229432511261745,3.63976986711197,1.3213297661501,370.1,134.4
"20","BOF",53,1,76245.7726459324,25797.6301173311,53-05-16,2007,"Fall",18,14804.1704405933,1429445.45039286,5.3,1.8,1.67659146257236,0.0302579482116158,5.15029011263374,1.74259207706725,307.2,103.9
"21","BOF",54,1,105049.205924332,31601.574521152,54-07-22,2008,"Spring",19,14804.1704405933,2011122.58008859,5.2,1.6,2.35883849015458,0.0370653738702979,7.09591978462268,2.13464000890587,300.8,90.5
"22","BOF",1,1,74128.3128422291,25152.3476668276,1-06-18,1990,"Summer",1,14804.1704405933,1232107.01509543,6,2,1.44513391673448,0.0295010987304659,5.00725880856978,1.69900419397087,346.5,117.6
"23","BOF",55,1,110139.552877157,32777.9044678675,55-07-20,2008,"Summer",19,14804.1704405933,1905127.07756994,5.8,1.7,2.23451674388228,0.0384450870627736,7.4397652552792,2.21409937148453,332.9,99.1
"24","BOF",2,1,56701.3780858758,22122.8095337976,2-05-19,1990,"Fall",1,14804.1704405933,1234408.14225949,4.6,1.8,1.44783290056524,0.0259477642761993,3.83009492584601,1.49436333650526,264.5,103.2
"25","BOF",46,1,59159.1405436802,19700.6752950985,46-06-27,2005,"Summer",16,14804.1704405933,1266767.60454331,4.7,1.6,1.48578719828508,0.0231068516798557,3.99611317507293,1.33075172122302,269,89.6
"26","BOF",75,1,153693.164701492,51581.1093327499,75-07-10,2015,"Spring",26,14804.1704405933,3058573.01919114,5,1.7,3.58738936852798,0.0604992988809277,10.3817478539738,3.48422828146545,289.4,97.1
"27","BOF",92,1,141892.881358009,58349.9625098128,92-07-21,2020,"Fall",31,14804.1704405933,3211935.82049624,4.4,1.8,3.76726805034381,0.0684384625929465,9.58465602158536,3.94145438570581,254.4,104.6
"28","BOF",84,1,132487.230857777,41750.2396439698,85-06-23,2018,"Summer",29,14804.1704405933,3271051.22335903,4.1,1.3,3.8366042951925,0.0489687069402977,8.94931812555298,2.82016745291515,233.3,73.5
"29","BOF",93,1,141635.350188273,56139.4080216869,94-05-04,2021,"Summer",32,14804.1704405933,2851077.52592987,5,2,3.34401864568683,0.0658457111302557,9.56726016879047,3.79213467225098,286.1,113.4
"30","BOF",14,1,36859.836422176,15290.2665923233,14-06-22,1994,"Fall",5,14804.1704405933,852941.63570701,4.3,1.8,1.00041219768537,0.0179338990670117,2.48982788803253,1.03283508209262,248.9,103.2
"31","BOF",68,1,180729.409169083,59980.976786321,68-06-16,2012,"Fall",23,14804.1704405933,2681920.93153458,6.7,2.2,3.14561548037332,0.0703514734116356,12.2080065137267,4.05162700787692,388.1,128.8
"32","BOF",60,1,162474.130279662,48080.6075385125,60-07-13,2010,"Spring",21,14804.1704405933,2673276.79270333,6.1,1.8,3.1354768008163,0.0563935728307837,10.9748891997457,3.24777451944721,350,103.6
"33","BOF",79,1,138433.580177075,38079.6254976341,78-07-07,2016,"Spring",27,14804.1704405933,3108209.4710358,4.5,1.2,3.64560778558773,0.0446634567200446,9.35098530056688,2.5722228510163,256.5,70.6
"34","BOF",35,1,42738.5218205848,16545.4588123444,35-06-10,2001,"Fall",12,14804.1704405933,819620.233780128,5.2,2,0.961329644394373,0.0194061095381396,2.88692446443301,1.11762147556586,300.3,116.3
"35","BOF",89,1,143415.156214193,52441.6032743398,89-06-25,2019,"Fall",30,14804.1704405933,3185691.17815019,4.5,1.6,3.73648580308593,0.0615085691512051,9.68748345540158,3.54235338513423,259.3,94.8
"36","BOF",73,1,169345.134378747,44098.5315732733,72-07-15,2014,"Spring",25,14804.1704405933,2986454.33920144,5.7,1.5,3.50280162638679,0.051723010155727,11.439015448944,2.97879112850216,326.6,85
"37","BOF",90,1,178485.67734743,67163.9666867984,91-05-23,2020,"Summer",31,14804.1704405933,3556227.62638078,5,1.9,4.17108667960385,0.0787763766071888,12.0564457200532,4.53682744037002,289,108.8
"38","BOF",74,1,141464.921045778,43864.7630247739,74-05-31,2014,"Fall",25,14804.1704405933,2722416.85815846,5.2,1.6,3.19311300805295,0.0514488238602484,9.55574793018315,2.96300040591913,299.3,92.8
"39","BOF",3,1,79934.9647429797,30480.0687383888,4-05-17,1991,"Summer",2,14804.1704405933,1867643.88620974,4.3,1.6,2.19055284263148,0.0357499637438816,5.3994896278549,2.05888393819162,246.5,94
"40","BOF",47,1,56309.313218816,21839.7775499475,47-05-31,2005,"Fall",16,14804.1704405933,1151218.19394259,4.9,1.9,1.3502597073513,0.0256157970733742,3.80361151911727,1.47524494111892,281.7,109.3
"41","BOF",4,1,64566.0871970576,23129.1030173729,3-06-14,1991,"Spring",2,14804.1704405933,1253726.58561572,5.1,1.8,1.47049143376938,0.0271280423084536,4.36134449114529,1.56233698539112,296.6,106.2
"42","BOF",48,1,105533.229175958,37568.5273313826,48-06-11,2006,"Spring",17,14804.1704405933,1728925.94562748,6.1,2.2,2.02785106564382,0.0440639915065674,7.12861484535359,2.53769891951318,351.5,125.1
"43","BOF",85,1,101751.625808052,31332.5958395083,84-07-30,2018,"Spring",29,14804.1704405933,3767133.72978205,2.7,0.8,4.41845769489498,0.0367498897354301,6.87317308432546,2.1164708934716,155.6,47.9
"44","BOF",94,1,148724.21706188,62918.3675719023,93-07-18,2021,"Spring",32,14804.1704405933,3804309.07446794,3.9,1.7,4.46206052388116,0.0737967285712436,10.0461027288686,4.25004344717479,225.1,95.2
"45","BOF",15,1,45966.1229584192,18235.3744064145,15-05-26,1995,"Spring",6,14804.1704405933,1190354.53582891,3.9,1.5,1.39616258294889,0.0213882055017927,3.10494418737434,1.23177279534777,222.4,88.2
"46","BOF",69,1,154022.898937175,47659.8872401581,69-06-14,2013,"Spring",24,14804.1704405933,2908019.49528548,5.3,1.6,3.41080567813879,0.0559001114957199,10.4040209179733,3.21935548036342,305,94.4
"47","BOF",61,1,142422.578869779,37223.1670339084,61-07-29,2010,"Summer",21,14804.1704405933,2660737.54924765,5.4,1.4,3.12076956695919,0.0436589196473387,9.62043631159865,2.51437033795841,308.3,80.6
"48","BOF",80,1,147588.555520094,49050.6488981791,80-05-20,2016,"Fall",27,14804.1704405933,3004359.84493621,4.9,1.6,3.52380293010195,0.0575313308764036,9.96939045739463,3.31329939053399,282.9,94
"49","BOF",36,1,55482.7192231675,20214.2994049343,36-07-28,2002,"Spring",13,14804.1704405933,1000659.0330454,5.5,2,1.17366940535489,0.0237092795635398,3.7477763070758,1.36544627651046,319.3,116.3
"50","BOF",45,1,96371.1622544789,36082.9372027858,45-07-13,2005,"Spring",16,14804.1704405933,1477217.8962883,6.5,2.4,1.73262359371278,0.0423215481514868,6.50973066280211,2.43734948524003,375.7,140.7
"51","BOF",37,1,49150.4530022629,16251.1927768869,37-07-03,2002,"Summer",13,14804.1704405933,829186.140184572,5.9,2,0.972549461845295,0.0190609659563139,3.32004101138227,1.09774423647041,341.4,112.9
"52","BOF",29,1,37747.7362060911,14704.7841586295,29-06-27,1999,"Fall",10,14804.1704405933,678157.674286343,5.6,2.2,0.795408713689582,0.0172471888119632,2.54980421615426,0.993286602423105,320.6,124.9
"53","BOF",83,1,135278.124171296,47067.0447204438,83-06-21,2017,"Fall",28,14804.1704405933,2982221.82786538,4.5,1.6,3.4978373289599,0.0552047686220693,9.13783887548073,3.17930983767825,261.2,90.9
"54","BOF",30,1,49512.9209957686,19196.5485458699,31-07-20,2000,"Summer",11,14804.1704405933,885328.95290416,5.6,2.2,1.03839916633356,0.0225155632165018,3.34452519271213,1.29669869871483,322.1,124.9
"55","BOF",39,1,77514.5793114602,28788.212294076,39-06-14,2003,"Spring",14,14804.1704405933,1127983.28548993,6.9,2.6,1.32300756622576,0.033765591363912,5.23599614193267,1.94460151682246,395.8,147
"56","BOF",5,1,47173.389279064,18488.5291468494,5-07-02,1991,"Fall",2,14804.1704405933,1048191.84195313,4.5,1.8,1.22942046712844,0.0216851297925421,3.18649325663759,1.24887302676235,259.2,101.6
"57","BOF",22,1,69293.4002307073,24558.7911621924,22-06-17,1997,"Summer",8,14804.1704405933,957991.695214562,7.2,2.6,1.12362503722722,0.028804918426452,4.680667553023,1.6589103226515,416.6,147.6
"58","BOF",86,1,117817.391833927,43056.4202852061,86-06-19,2018,"Fall",29,14804.1704405933,3225387.44798651,3.7,1.3,3.78304541617592,0.0505007215485307,7.95839201573025,2.90839803945682,210.4,76.9
"59","BOF",95,1,141888.992458023,60421.5841878499,95-06-10,2021,"Fall",32,14804.1704405933,2850701.05522246,5,2.1,3.34357708453893,0.070868260258973,9.58439333209518,4.08138939161176,286.7,122.1
"60","BOF",16,1,34551.2792017441,13170.2868811866,16-07-15,1995,"Summer",6,14804.1704405933,987872.854730507,3.5,1.3,1.15867254248349,0.0154473824367048,2.33388823375094,0.88963356197747,201.4,76.8
"61","BOF",70,1,142854.567210047,41658.2263800917,70-05-15,2013,"Summer",24,14804.1704405933,2283536.7415605,6.3,1.8,2.67835208704076,0.0488607849117803,9.64961649038686,2.81395209189595,360.3,105.1
"62","BOF",62,1,145582.971965813,43911.1512044288,62-06-04,2010,"Fall",21,14804.1704405933,2539680.4084216,5.7,1.7,2.97878207891857,0.05150323239046,9.8339162298903,2.96613385941732,330.1,99.6
"63","BOF",81,1,117363.399127433,35655.1182634748,81-05-19,2017,"Spring",28,14804.1704405933,3209302.86273625,3.7,1.1,3.76417986359244,0.0418197608458024,7.92772547427722,2.40845094337119,210.6,64
"64","BOF",63,1,157964.534028346,51033.5258728175,63-06-04,2011,"Spring",22,14804.1704405933,2581592.81510052,6.1,2,3.02794099099488,0.0598570401968232,10.6702725871897,3.44723982188713,352.4,113.8
"65","BOF",19,1,34596.2474264503,12718.7905473365,19-07-18,1996,"Summer",7,14804.1704405933,933782.38609797,3.7,1.4,1.09523002504365,0.0149178239995446,2.33692577137499,0.85913564683512,213.4,78.4
"66","BOF",38,1,46430.9276110395,16495.5631210252,38-06-02,2002,"Fall",13,14804.1704405933,780445.758908228,5.9,2.1,0.915382042754219,0.0193475870600263,3.13634105993032,1.11425109479921,342.6,121.7
"67","BOF",20,1,38370.3374009739,15241.1121715043,20-06-07,1996,"Fall",7,14804.1704405933,911220.831377568,4.2,1.7,1.06876765810535,0.01787624602242,2.59186001370004,1.02951477306104,242.5,96.3
"68","BOF",100,1,144937.719302238,67876.2571914666,100-05-25,2023,"Summer",34,14804.1704405933,2798628.1876748,5.2,2.4,3.28250100420437,0.0796118195957057,9.79033035885727,4.58494161924458,298.3,139.7
"69","BOF",31,1,60768.2918151409,20608.5565200985,30-05-07,2000,"Spring",11,14804.1704405933,741439.852967484,8.2,2.8,0.869632155011263,0.0241717023255704,4.10480898331953,1.39207776638328,472,160.1
"70","BOF",40,1,51822.4771051732,16101.3655401045,40-07-19,2003,"Summer",14,14804.1704405933,794351.385942622,6.5,2,0.931691903029875,0.0188852341254972,3.50053232047876,1.08762362637722,375.7,116.7
"71","BOF",6,1,64682.7331834911,25670.7093561755,6-07-08,1992,"Spring",3,14804.1704405933,1255445.70961899,5.2,2,1.47250778817185,0.0301090833042363,4.36922375644433,1.73401876580575,296.7,117.8
