"Period","Stratum","Season","term","estimate","std.error","statistic","p.value","conf.low","conf.high"
"Before Warming","Canada","Fall","Year",-2.76807348048212,0.688962881259048,-4.01773964284345,0.00127107054556114,-4.24575189667602,-1.29039506428822
"Before Warming","Canada","Spring","Year",-4.31523975312486,2.35154369049308,-1.83506679912888,0.0878285387200357,-9.35879935655153,0.728319850301808
"Before Warming","Canada","Summer","Year",1.14000227711745,1.47928315959326,0.770645072057002,0.453727019526166,-2.03274455123915,4.31274910547406
"Before Warming","USA","Fall","Year",-0.111210724721681,0.109524556144406,-1.01539534727766,0.327145150121421,-0.346117534740309,0.123696085296947
"Before Warming","USA","Spring","Year",0.33396363429936,0.152145071466951,2.19503419387399,0.0455219186136937,0.00764491038473997,0.660282358213981
"Before Warming","USA","Summer","Year",0.101687115589454,0.0405218810652051,2.5094371958159,0.025006391434046,0.0147763245114132,0.188597906667494
"During Warming","Canada","Fall","Year",-0.507270791032447,0.587069894371352,-0.86407222699717,0.400316983478329,-1.75180337112354,0.737261789058643
"During Warming","Canada","Spring","Year",-1.63442192429132,1.00876533498806,-1.62022015190546,0.124723872810017,-3.77290890360321,0.504065055020579
"During Warming","Canada","Summer","Year",-0.896574416542951,1.08028800047063,-0.829940179056288,0.41878406650628,-3.18668267342576,1.39353384033986
"During Warming","USA","Fall","Year",-0.0253789021860094,0.0994579379791985,-0.255172213517209,0.801841153574832,-0.236220311957731,0.185462507585712
"During Warming","USA","Spring","Year",-0.148570185978807,0.152004476733573,-0.977406647300355,0.342915749715132,-0.470805281711663,0.173664909754049
"During Warming","USA","Summer","Year",-0.13569880201184,0.0532269902157285,-2.54943594334104,0.0214276783700484,-0.248534980631761,-0.0228626233919194
