"","quantile","time","axis","Units","value","Season","YearGroup","Year"
"1","quantile_0.05",1,"km_E","Estimate",-386.116871558552,"Spring",1,1990
"2","quantile_0.5",1,"km_E","Estimate",-136.116871558553,"Spring",1,1990
"3","quantile_0.95",1,"km_E","Estimate",813.883128441447,"Spring",1,1990
"4","quantile_0.05",2,"km_E","Estimate",-361.116871558553,"Summer",1,1990
"5","quantile_0.5",2,"km_E","Estimate",-211.116871558552,"Summer",1,1990
"6","quantile_0.95",2,"km_E","Estimate",538.883128441447,"Summer",1,1990
"7","quantile_0.05",3,"km_E","Estimate",-411.116871558553,"Fall",1,1990
"8","quantile_0.5",3,"km_E","Estimate",38.8831284414477,"Fall",1,1990
"9","quantile_0.95",3,"km_E","Estimate",888.883128441447,"Fall",1,1990
"10","quantile_0.05",4,"km_E","Estimate",-411.116871558552,"Spring",2,1991
"11","quantile_0.5",4,"km_E","Estimate",113.883128441447,"Spring",2,1991
"12","quantile_0.95",4,"km_E","Estimate",788.883128441447,"Spring",2,1991
"13","quantile_0.05",5,"km_E","Estimate",-311.116871558553,"Summer",2,1991
"14","quantile_0.5",5,"km_E","Estimate",63.8831284414474,"Summer",2,1991
"15","quantile_0.95",5,"km_E","Estimate",1013.88312844145,"Summer",2,1991
"16","quantile_0.05",6,"km_E","Estimate",-311.116871558553,"Fall",2,1991
"17","quantile_0.5",6,"km_E","Estimate",38.8831284414476,"Fall",2,1991
"18","quantile_0.95",6,"km_E","Estimate",813.883128441447,"Fall",2,1991
"19","quantile_0.05",7,"km_E","Estimate",-411.116871558553,"Spring",3,1992
"20","quantile_0.5",7,"km_E","Estimate",38.8831284414477,"Spring",3,1992
"21","quantile_0.95",7,"km_E","Estimate",963.883128441447,"Spring",3,1992
"22","quantile_0.05",8,"km_E","Estimate",-386.116871558554,"Summer",3,1992
"23","quantile_0.5",8,"km_E","Estimate",88.8831284414469,"Summer",3,1992
"24","quantile_0.95",8,"km_E","Estimate",588.883128441447,"Summer",3,1992
"25","quantile_0.05",9,"km_E","Estimate",-311.116871558552,"Fall",3,1992
"26","quantile_0.5",9,"km_E","Estimate",-161.116871558552,"Fall",3,1992
"27","quantile_0.95",9,"km_E","Estimate",863.883128441447,"Fall",3,1992
"28","quantile_0.05",10,"km_E","Estimate",-436.116871558553,"Spring",4,1993
"29","quantile_0.5",10,"km_E","Estimate",63.8831284414471,"Spring",4,1993
"30","quantile_0.95",10,"km_E","Estimate",788.883128441447,"Spring",4,1993
"31","quantile_0.05",11,"km_E","Estimate",-361.116871558553,"Summer",4,1993
"32","quantile_0.5",11,"km_E","Estimate",113.883128441447,"Summer",4,1993
"33","quantile_0.95",11,"km_E","Estimate",938.883128441447,"Summer",4,1993
"34","quantile_0.05",12,"km_E","Estimate",-311.116871558552,"Fall",4,1993
"35","quantile_0.5",12,"km_E","Estimate",88.8831284414474,"Fall",4,1993
"36","quantile_0.95",12,"km_E","Estimate",763.883128441447,"Fall",4,1993
"37","quantile_0.05",13,"km_E","Estimate",-361.116871558553,"Spring",5,1994
"38","quantile_0.5",13,"km_E","Estimate",38.8831284414476,"Spring",5,1994
"39","quantile_0.95",13,"km_E","Estimate",863.883128441447,"Spring",5,1994
"40","quantile_0.05",14,"km_E","Estimate",-386.116871558553,"Summer",5,1994
"41","quantile_0.5",14,"km_E","Estimate",88.8831284414469,"Summer",5,1994
"42","quantile_0.95",14,"km_E","Estimate",813.883128441447,"Summer",5,1994
"43","quantile_0.05",15,"km_E","Estimate",-336.116871558553,"Fall",5,1994
"44","quantile_0.5",15,"km_E","Estimate",88.8831284414469,"Fall",5,1994
"45","quantile_0.95",15,"km_E","Estimate",813.883128441447,"Fall",5,1994
"46","quantile_0.05",16,"km_E","Estimate",-386.116871558553,"Spring",6,1995
"47","quantile_0.5",16,"km_E","Estimate",88.8831284414469,"Spring",6,1995
"48","quantile_0.95",16,"km_E","Estimate",763.883128441447,"Spring",6,1995
"49","quantile_0.05",17,"km_E","Estimate",-436.116871558553,"Summer",6,1995
"50","quantile_0.5",17,"km_E","Estimate",88.8831284414468,"Summer",6,1995
"51","quantile_0.95",17,"km_E","Estimate",788.883128441447,"Summer",6,1995
"52","quantile_0.05",18,"km_E","Estimate",-361.116871558552,"Fall",6,1995
"53","quantile_0.5",18,"km_E","Estimate",88.8831284414471,"Fall",6,1995
"54","quantile_0.95",18,"km_E","Estimate",763.883128441447,"Fall",6,1995
"55","quantile_0.05",19,"km_E","Estimate",-361.116871558553,"Spring",7,1996
"56","quantile_0.5",19,"km_E","Estimate",-111.116871558552,"Spring",7,1996
"57","quantile_0.95",19,"km_E","Estimate",613.883128441447,"Spring",7,1996
"58","quantile_0.05",20,"km_E","Estimate",-386.116871558554,"Summer",7,1996
"59","quantile_0.5",20,"km_E","Estimate",88.8831284414473,"Summer",7,1996
"60","quantile_0.95",20,"km_E","Estimate",838.883128441447,"Summer",7,1996
"61","quantile_0.05",21,"km_E","Estimate",-336.116871558553,"Fall",7,1996
"62","quantile_0.5",21,"km_E","Estimate",63.883128441447,"Fall",7,1996
"63","quantile_0.95",21,"km_E","Estimate",763.883128441447,"Fall",7,1996
"64","quantile_0.05",22,"km_E","Estimate",-361.116871558553,"Spring",8,1997
"65","quantile_0.5",22,"km_E","Estimate",-11.116871558553,"Spring",8,1997
"66","quantile_0.95",22,"km_E","Estimate",588.883128441447,"Spring",8,1997
"67","quantile_0.05",23,"km_E","Estimate",-411.116871558552,"Summer",8,1997
"68","quantile_0.5",23,"km_E","Estimate",63.8831284414474,"Summer",8,1997
"69","quantile_0.95",23,"km_E","Estimate",963.883128441447,"Summer",8,1997
"70","quantile_0.05",24,"km_E","Estimate",-436.116871558552,"Fall",8,1997
"71","quantile_0.5",24,"km_E","Estimate",38.8831284414477,"Fall",8,1997
"72","quantile_0.95",24,"km_E","Estimate",863.883128441447,"Fall",8,1997
"73","quantile_0.05",25,"km_E","Estimate",-386.116871558553,"Spring",9,1998
"74","quantile_0.5",25,"km_E","Estimate",-86.1168715585526,"Spring",9,1998
"75","quantile_0.95",25,"km_E","Estimate",763.883128441447,"Spring",9,1998
"76","quantile_0.05",26,"km_E","Estimate",-411.116871558552,"Summer",9,1998
"77","quantile_0.5",26,"km_E","Estimate",-111.116871558553,"Summer",9,1998
"78","quantile_0.95",26,"km_E","Estimate",563.883128441447,"Summer",9,1998
"79","quantile_0.05",27,"km_E","Estimate",-411.116871558553,"Fall",9,1998
"80","quantile_0.5",27,"km_E","Estimate",138.883128441447,"Fall",9,1998
"81","quantile_0.95",27,"km_E","Estimate",888.883128441447,"Fall",9,1998
"82","quantile_0.05",28,"km_E","Estimate",-436.116871558553,"Spring",10,1999
"83","quantile_0.5",28,"km_E","Estimate",113.883128441447,"Spring",10,1999
"84","quantile_0.95",28,"km_E","Estimate",913.883128441447,"Spring",10,1999
"85","quantile_0.05",29,"km_E","Estimate",-461.116871558553,"Summer",10,1999
"86","quantile_0.5",29,"km_E","Estimate",38.8831284414477,"Summer",10,1999
"87","quantile_0.95",29,"km_E","Estimate",913.883128441447,"Summer",10,1999
"88","quantile_0.05",30,"km_E","Estimate",-461.116871558552,"Fall",10,1999
"89","quantile_0.5",30,"km_E","Estimate",-161.116871558552,"Fall",10,1999
"90","quantile_0.95",30,"km_E","Estimate",763.883128441447,"Fall",10,1999
"91","quantile_0.05",31,"km_E","Estimate",-361.116871558553,"Spring",11,2000
"92","quantile_0.5",31,"km_E","Estimate",88.8831284414469,"Spring",11,2000
"93","quantile_0.95",31,"km_E","Estimate",863.883128441447,"Spring",11,2000
"94","quantile_0.05",32,"km_E","Estimate",-436.116871558553,"Summer",11,2000
