"Year","Season","Depth_Mean","Depth_Median","Depth_Q5","Depth_Q95","Period"
1990,"Fall",336.373637942685,148.71286,66.3734751284811,1315.50871753275,"Before Warming"
1990,"Spring",313.331604983882,143.70183,66.6260198658883,1283.37947552938,"Before Warming"
1990,"Summer",244.662548103602,132.468,69.6231045254867,1124.98702186197,"Before Warming"
1991,"Fall",324.214251176928,148.66989,67.3160709927736,1315.29043486581,"Before Warming"
1991,"Spring",361.690422724893,152.49924,64.2223419387065,1355.56277666555,"Before Warming"
1991,"Summer",288.85811634615,148.66989,65.4638644193056,1246.2864592645,"Before Warming"
1992,"Fall",328.505956320226,148.71286,66.662012646804,1315.40473557686,"Before Warming"
1992,"Spring",289.368597482229,144.37698,64.1486400305068,1246.03813941227,"Before Warming"
1992,"Summer",287.660322852684,136.68755,59.9542881167554,1246.16544411756,"Before Warming"
1993,"Fall",328.218872141949,148.13063,64.2194767995947,1318.80135287333,"Before Warming"
1993,"Spring",285.919304760107,146.13088,73.290340714872,1245.99462046291,"Before Warming"
1993,"Summer",276.458145599799,145.39875,70.0704077590805,1246.04333182998,"Before Warming"
1994,"Fall",357.371485318765,150.3121,64.2211217883386,1325.82935777363,"Before Warming"
1994,"Spring",335.923485847616,149.05865,71.6659375038811,1312.90595745288,"Before Warming"
1994,"Summer",325.487883017062,148.71286,60.7946783738742,1316.32791348248,"Before Warming"
1995,"Fall",331.912757759976,149.05865,62.765087863205,1317.19325627048,"Before Warming"
1995,"Spring",445.184672677264,159.58378,70.2864815968462,1466.25317165194,"Before Warming"
1995,"Summer",305.393506973535,149.05865,69.6269779429092,1246.12461650926,"Before Warming"
1996,"Fall",314.959342140587,148.2568,65.5556018308243,1312.5107231261,"Before Warming"
1996,"Spring",299.429486916625,148.27341,72.0229000391805,1246.60143232426,"Before Warming"
1996,"Summer",310.511646290937,148.71286,65.360287296391,1252.21831700267,"Before Warming"
1997,"Fall",316.974020281038,145.75463,66.6393817700692,1308.20663931333,"Before Warming"
1997,"Spring",299.979657055882,148.71286,73.284218418056,1245.54106561217,"Before Warming"
1997,"Summer",297.834096455925,136.68755,60.8076904325656,1246.3478384547,"Before Warming"
1998,"Fall",306.208560196158,145.75463,69.5147558680379,1307.96735306157,"Before Warming"
1998,"Spring",284.077631566406,143.70183,69.6369033259868,1243.89836283137,"Before Warming"
1998,"Summer",288.468715291443,143.19907,69.6583594643444,1246.70610991008,"Before Warming"
1999,"Fall",319.270825565713,148.71286,60.7711678661082,1313.71552328335,"Before Warming"
1999,"Spring",272.091809507259,152.49924,69.6603969575023,1205.87344038811,"Before Warming"
1999,"Summer",273.911994345812,143.70183,64.9257818751885,1245.87977255857,"Before Warming"
2000,"Fall",320.151906258813,144.37698,64.2165558381861,1318.10981970629,"Before Warming"
2000,"Spring",294.958481399954,148.2568,70.2449815895542,1246.20726489034,"Before Warming"
