"Year","Season","Stratum","Depth_Mean","Depth_Median","Depth_Q5","Depth_Q95","Period"
1990,"Fall","Canada",351.492885307057,149.05865,69.6496554112178,1320.59212900936,"Before Warming"
1990,"Fall","USA",125.920486200964,124.37197,45.6565096128843,215.292710544094,"Before Warming"
1990,"Spring","Canada",325.572210678804,144.37698,73.2852317428084,1308.77659566528,"Before Warming"
1990,"Spring","USA",129.543301072302,128.61068,43.5072740506526,229.857297490965,"Before Warming"
1990,"Summer","Canada",253.360227621067,132.468,76.662779460955,1129.91284662471,"Before Warming"
1990,"Summer","USA",124.153249153625,120.25267,43.4321351843931,216.561151474692,"Before Warming"
1991,"Fall","Canada",338.376357781357,148.71286,73.2806847518504,1320.08193611274,"Before Warming"
1991,"Fall","USA",125.761874949672,128.61068,46.0298179281221,212.44644982459,"Before Warming"
1991,"Spring","Canada",376.514989924196,156.76253,70.6699089411629,1453.85004223589,"Before Warming"
1991,"Spring","USA",124.004437578389,120.25267,43.4744957221332,215.333744563118,"Before Warming"
1991,"Summer","Canada",299.780794810794,148.71286,69.6526537767362,1246.64190104756,"Before Warming"
1991,"Summer","USA",123.763424993557,119.1489,43.4349055765889,215.605155197505,"Before Warming"
1992,"Fall","Canada",341.756743341499,149.05865,71.876489425072,1319.75455105034,"Before Warming"
1992,"Fall","USA",124.649327094066,120.25267,43.5006400547716,212.622712355284,"Before Warming"
1992,"Spring","Canada",301.788111617151,145.75463,68.2070890927273,1246.3746493232,"Before Warming"
1992,"Spring","USA",126.547411872418,120.74826,43.4967604504453,215.667701580397,"Before Warming"
1992,"Summer","Canada",299.459588363711,143.70183,64.2132762868783,1246.54559140086,"Before Warming"
1992,"Summer","USA",122.59078447124,119.1489,41.8216841516338,212.816450646697,"Before Warming"
1993,"Fall","Canada",341.767105238608,148.71286,68.2052637995543,1322.86460443176,"Before Warming"
1993,"Fall","USA",122.605130979081,119.1489,43.4916944027199,207.215377039549,"Before Warming"
1993,"Spring","Canada",294.913329565133,148.66989,77.4671371082688,1246.30177876195,"Before Warming"
1993,"Spring","USA",126.961857743327,128.61068,43.4472150985809,213.146364121663,"Before Warming"
1993,"Summer","Canada",285.109235891947,148.2568,73.4111731504252,1246.35826821742,"Before Warming"
1993,"Summer","USA",122.560670133884,113.32137,43.4334852151877,214.744896183144,"Before Warming"
1994,"Fall","Canada",369.025483671881,150.3121,66.6514713179074,1453.14245333424,"Before Warming"
