"Year","Season","centroid_longitude","centroid_latitude","centroid_latitude_Median","centroid_longitude_Median","centroid_latitude_Quantile_05","centroid_longitude_Quantile_05","centroid_latitude_Quantile_95","centroid_longitude_Quantile_95"
1990,"Fall",-61.4560000806526,43.9044100548597,43.7261316421547,-61.759329923165,42.3642791901289,-67.7889792736982,46.9342124361708,-52.1738362361666
1990,"Spring",-62.0269649481325,43.7396902698359,43.4877716886565,-62.3930134539518,42.1846541399667,-67.7836237343777,46.0905385159542,-52.7753656181083
1990,"Summer",-62.8975241240824,43.6884211079858,43.4259208499538,-63.0992154560931,42.1591869457519,-67.7976117097678,46.7657613869109,-56.4993528007201
1991,"Fall",-61.8258946841604,43.8961812973695,43.6477844561215,-62.0113315055629,42.3779630492999,-67.7953070948747,46.9706974053229,-52.4294162597618
1991,"Spring",-61.4951490963675,43.8671771724192,43.8100984869354,-61.4686266179469,42.3814645937845,-67.581175587015,46.0903319726757,-53.8339347985126
1991,"Summer",-61.6249567702233,43.9172450165172,43.816813260347,-61.7948034218285,42.375137839392,-67.7825159473175,46.9365301272591,-52.3607576817767
1992,"Fall",-61.6070989108951,43.8933465015869,43.7118732600672,-61.7948034218285,42.4020879492132,-67.7836178426848,46.7233089852623,-52.1928557485713
1992,"Spring",-61.7974002427037,43.9455368546108,43.7941418228841,-62.1040755604935,42.3642837092818,-68.0494951882707,47.1571031705548,-52.448061332103
1992,"Summer",-61.9656827435192,43.8800742727662,43.8100984869354,-62.1040755604935,42.4028341742997,-67.7981073673836,46.090595968271,-56.1882870447585
1993,"Fall",-61.7217062840252,43.871924808851,43.6644239317582,-61.7948034218285,42.3842538021577,-67.7821606966085,46.7314930263211,-52.7491326814681
1993,"Spring",-62.0702482352518,43.7706421030525,43.6641186526927,-62.3534737957797,42.3771759207045,-67.4389961213553,45.8629118908502,-54.601503630694
1993,"Summer",-61.7667759783508,43.8353188643851,43.7245948940368,-62.0850976578281,42.3747867756671,-67.4356968420879,46.5387643194418,-53.0737879369143
1994,"Fall",-61.4261521190071,43.8976177058448,43.6967837738585,-61.4853239199267,42.4046253980715,-67.1186103612443,46.5264711921452,-53.059167595472
1994,"Spring",-61.6907067607423,43.8546795597109,43.5777358118476,-62.1040755604935,42.3794397163066,-67.4737624058943,46.7628675929734,-52.4810341259476
1994,"Summer",-61.6197935243774,43.9571108762614,43.757152453289,-61.7246635209633,42.4084547365249,-67.4736854006784,46.9642198566962,-53.6567990808505
1995,"Fall",-61.2610070481919,43.9986258957967,43.822684568829,-61.2234051432512,42.4065029199102,-67.3945184999974,46.9705076440184,-53.0610360941705
1995,"Spring",-61.3024620875115,43.8005351055066,43.5777358118476,-60.8230713394237,42.4051314469684,-67.3192075447921,46.0906097292878,-54.9334889889003
1995,"Summer",-61.116088453677,43.9707680743727,43.9047082774828,-61.1295245563184,42.3824700705984,-67.051502774146,46.7655238385802,-53.3565247367943
1996,"Fall",-61.5290401102296,43.9673122270663,43.762644348651,-61.5365919831884,42.4043485701401,-67.433778240257,47.1852647414799,-53.0672512651245
1996,"Spring",-62.1095254154927,43.8124306662613,43.6477844561215,-62.3534737957797,42.381922305897,-67.4736753993907,46.7462926655683,-53.9932678400452
1996,"Summer",-61.4429474610071,43.8990376805989,43.7261316421547,-61.7769644029032,42.4029374025079,-67.7553365276523,46.7627217776693,-53.3725948421123
1997,"Fall",-61.5017776317553,43.9450477202926,43.7507963745797,-61.759329923165,42.4034924485028,-67.7897433820104,46.9896593127853,-52.8035315244543
1997,"Spring",-61.3346933810234,43.9263502812013,43.822684568829,-61.4358040740824,42.403311507711,-67.1677834529106,46.9540680682271,-53.7004828867215
1997,"Summer",-61.6725394772917,43.9097603470717,43.7395572478361,-62.1040755604935,42.3791137194132,-67.7902192648563,46.7646413924548,-52.7991748080581
1998,"Fall",-61.8727221131748,43.8959072567509,43.7395572478361,-61.8495763306765,42.4046436600054,-68.0469916814693,46.5397374835384,-53.0504236736295
1998,"Spring",-61.97952682743,43.8522982841766,43.6808649508325,-62.3731300161606,42.3849383895659,-67.794302096401,46.760160295054,-53.3671728325506
1998,"Summer",-62.3186168613799,43.7918804300388,43.5777358118476,-62.3930134539518,42.4023468835177,-67.790799566008,46.7460578494496,-56.1820341064558
1999,"Fall",-61.4218270718674,44.0230864540276,43.884642179298,-61.4196736731849,42.4086441214261,-67.7492726138804,46.7397150331053,-52.7425692072456
1999,"Spring",-61.5432252042841,43.9541758436076,43.999399316882,-61.2396974260259,42.4076377608956,-67.7407845082602,46.2961609862649,-53.3934460172965
1999,"Summer",-61.8284778237572,44.010147162117,43.8696153760247,-62.1426958681828,42.4048269864892,-67.7913235766418,47.1725448531027,-52.4845918718088
2000,"Fall",-61.630180848079,43.9833277118039,43.7381127259811,-61.7246635209633,42.4089471230014,-67.7346917034661,46.9905941526223,-52.797338046049
2000,"Spring",-61.4782737691787,43.9635974657193,43.822684568829,-61.5365919831884,42.4043652064132,-67.2433284390147,46.7628332130872,-52.4833172000625
2000,"Summer",-62.0871337937251,43.9273185825227,43.7261316421547,-62.3731300161606,42.4091312027882,-67.5812313869295,46.7391340290806,-53.6728550587858
2001,"Fall",-61.8750550462921,43.9084932267512,43.6967837738585,-62.0850976578281,42.4036952252175,-67.7613110186928,46.9539935157308,-53.0804059091039
2001,"Spring",-61.8174797663694,43.9677572307385,43.6961248423044,-61.759329923165,42.4074219920262,-67.7947413110324,46.9830128971632,-53.0912667102804
2001,"Summer",-62.7217946924953,43.8243049038309,43.4259208499538,-63.5738378798616,42.4051094941625,-67.7407125453482,46.9895735825643,-56.189570680391
2002,"Fall",-61.6772129731692,43.9605599597854,43.7864722131965,-62.1232739409559,42.4037408445938,-67.7830037783508,46.9877740638699,-52.052213013018
2002,"Spring",-61.892487839525,43.8825922396054,43.6477844561215,-62.3731300161606,42.4045383653571,-67.7831740775895,46.8007633756512,-52.7913768051359
2002,"Summer",-62.1065110772315,43.8899723084939,43.5152410465888,-62.0850976578281,42.4051442697885,-67.7960879974467,46.933463289689,-54.9045332954696
2003,"Fall",-61.9655662864371,43.94800655649,43.8100984869354,-61.8682624101155,42.4093807296267,-68.3541280105424,46.7743683655782,-52.7809729233425
2003,"Spring",-62.7399033977888,43.8023602293752,43.5986658466598,-63.0992154560931,42.4038992325468,-67.7937185263865,46.5213553909674,-55.8692806702965
2003,"Summer",-62.1480432034236,43.9793992095117,43.7270355196086,-62.3731300161606,42.4058832385585,-68.3534413137513,47.1697201104002,-53.3857061563987
2004,"Fall",-62.1149638137796,43.9131431567954,43.7261316421547,-62.1040755604935,42.4067775122954,-68.363081467684,46.5214318961978,-53.0559348024923
2004,"Spring",-62.0790491861618,43.9790339294012,43.7261316421547,-62.4540586027298,42.4047883247287,-68.0518851836653,47.1656185240503,-52.193405745859
