"Year","Season","Stratum","centroid_longitude","centroid_latitude","centroid_latitude_Median","centroid_longitude_Median","centroid_latitude_Quantile_05","centroid_longitude_Quantile_05","centroid_latitude_Quantile_95","centroid_longitude_Quantile_95"
1990,"Fall","Canada",-60.9475926082077,43.9658855527605,43.7395572478361,-61.5022154330776,42.4029914857032,-66.6911388521109,46.9895630360957,-52.1193792994339
1990,"Fall","USA",-68.5328043928306,43.0486986575724,43.5062955065099,-68.5790779557863,40.7118099981814,-70.0921198340051,44.2563231380322,-67.4089711116717
1990,"Spring","Canada",-61.5864615703742,43.8040038161243,43.4877716886565,-62.1426958681828,42.3761670063191,-66.691503954372,46.3152138047043,-52.5310012565498
1990,"Spring","USA",-68.6409651604826,42.7740454410195,43.091261556618,-68.6570368287933,40.4423631470823,-70.1133489453793,44.2281006166691,-67.3404100970779
1990,"Summer","Canada",-62.4846524177867,43.7509444945514,43.4259208499538,-62.7006989207735,42.3638387341935,-66.7226256136616,46.9876776251629,-56.3166211900008
1990,"Summer","USA",-68.6180016125979,42.822138386501,43.2855150586524,-68.6570368287933,40.4512232954115,-70.1106195061389,44.2286038169088,-67.3980230830359
1991,"Fall","Canada",-61.3421188172448,43.9532822635526,43.6641186526927,-61.7246635209633,42.4052072552174,-66.6759857247541,46.9962030120079,-52.1372731156058
1991,"Fall","USA",-68.6050041085146,43.0960303918287,43.5361824346027,-68.6136429203861,40.9142216524964,-70.1526199682878,44.2559643145448,-67.4324207070876
1991,"Spring","Canada",-61.0562216848748,43.925416016802,43.816813260347,-61.2073015915637,42.4311647716165,-66.7110822329438,46.2965959585994,-53.6736409590077
1991,"Spring","USA",-68.5325818123376,42.9334192478322,43.4119211582347,-68.5790779557863,40.6749887780786,-70.0801648282262,44.228607295488,-67.3776911823923
1991,"Summer","Canada",-61.1636825513286,43.9861446842932,43.822684568829,-61.5193038664516,42.4088437268501,-66.7199863383168,46.9877395924173,-52.173811422872
1991,"Summer","USA",-68.597049287992,42.8758365906808,43.4119211582347,-68.6136429203861,40.4543373939915,-70.1064618010618,44.2285525982297,-67.4011512544252
1992,"Fall","Canada",-61.1535136924742,43.9479409346685,43.7261316421547,-61.5365919831884,42.4091898239573,-66.6772297564708,46.9348769524246,-52.1737821737296
1992,"Fall","USA",-68.5852771538671,43.0534388731073,43.5986658466598,-68.6136429203861,40.6412709461311,-70.092868503045,44.2286204336609,-67.4327518359807
1992,"Spring","Canada",-61.2765402638366,44.0268947607816,43.816813260347,-61.7769644029032,42.4065147997179,-66.7142544543778,47.1891635743619,-52.1615972951492
1992,"Spring","USA",-68.6259314053984,42.8789258263893,43.4119211582347,-68.6570368287933,40.4484757726534,-70.1049285809531,44.2281733741725,-67.4324873635879
1992,"Summer","Canada",-61.4909007265393,43.9466876093755,43.822684568829,-61.8128498133672,42.4316195902076,-66.6953560604344,46.314583936778,-56.1829945801449
1992,"Summer","USA",-68.607795195472,42.9481660354382,43.4756206608786,-68.6136429203861,40.4745126076108,-70.0986089482762,44.2285250191113,-67.433146703745
1993,"Fall","Canada",-61.27434186912,43.9190358720871,43.6477844561215,-61.5365919831884,42.4057599446126,-66.6474693490186,46.9416674405003,-52.4642791717694
1993,"Fall","USA",-68.5110986981907,43.1569472990144,43.6961248423044,-68.538897934849,40.6756501876833,-70.0313034315447,44.2560837439885,-67.4330578642854
1993,"Spring","Canada",-61.6986349505289,43.8172231941788,43.6967837738585,-62.0850976578281,42.4036868932927,-66.6882939874503,45.8653468987607,-53.9756481845638
1993,"Spring","USA",-68.638019649898,42.9473831633461,43.4441613634692,-68.6570368287933,40.4840585382281,-70.0895227503956,44.2277562311913,-67.4325944082392
1993,"Summer","Canada",-61.3840759074784,43.8848104037521,43.7261316421547,-61.7948034218285,42.3851165374463,-66.6199101112456,46.7624727550012,-52.807990492805
1993,"Summer","USA",-68.5747704367309,42.9548953907762,43.5062955065099,-68.6136429203861,40.4521827161963,-70.095518697781,44.255893772394,-67.4313677151992
1994,"Fall","Canada",-61.069484250951,43.9332506919229,43.7118732600672,-61.2234051432512,42.4091454604267,-66.6608962965312,46.7239621009564,-52.7832115691506
1994,"Fall","USA",-68.5354429985465,43.1873623517073,43.6961248423044,-68.6136429203861,40.9111222918136,-70.087986045485,44.2562484152862,-67.4340265763032
1994,"Spring","Canada",-61.2745739760833,43.9036110702031,43.5777358118476,-61.8311064672102,42.4052444722835,-66.6623619815719,46.9542386872998,-52.419108817175
1994,"Spring","USA",-68.5826913774368,43.044276654637,43.4756206608786,-68.6136429203861,40.7079378906345,-70.1079293266995,44.2560815203794,-67.431369985922
1994,"Summer","Canada",-61.2041899915976,44.0162072434389,43.8100984869354,-61.4686266179469,42.5628569745716,-66.7209628070545,46.9893872171698,-53.3857754025817
1994,"Summer","USA",-68.581975010046,42.967129798186,43.5646160835123,-68.6136429203861,40.450430195691,-70.0986861759064,44.256054264142,-67.4323734770563
1995,"Fall","Canada",-60.8665739903975,44.0403158418219,43.822684568829,-61.1295245563184,42.4308966523091,-66.6608653521364,46.9895678032377,-52.7762929039215
1995,"Fall","USA",-68.5631678994165,43.226817636476,43.6961248423044,-68.6136429203861,40.8862925745802,-70.0953102742338,44.2561750148546,-67.4376132438278
1995,"Spring","Canada",-60.9062552079555,43.8515473946484,43.5777358118476,-60.5294115509759,42.4317948916536,-66.5425213662852,46.2961052425221,-53.9928251891064
1995,"Spring","USA",-68.6801911211783,42.8506403255444,43.4441613634692,-68.6570368287933,40.4433317265762,-70.0842758661862,44.2286364644427,-67.4363019865848
1995,"Summer","Canada",-60.7474883466555,44.0193750293906,43.9487794936306,-60.5294115509759,42.4043607381898,-66.639176827334,46.9642114628587,-53.0851906901834
1995,"Summer","USA",-68.5936394554488,42.9847103433435,43.5646160835123,-68.6136429203861,40.4491613909191,-70.0986992869968,44.2559635721773,-67.4331722790316
1996,"Fall","Canada",-61.1426039451354,44.0110601830206,43.8025410432055,-61.4196736731849,42.4084229014945,-66.5926550039542,47.2098595632974,-52.5999505851659
1996,"Fall","USA",-68.5456122044075,43.1729748573969,43.6961248423044,-68.5954629924375,40.6368691903512,-70.0966882833734,44.2563301662758,-67.4351166614328
1996,"Spring","Canada",-61.7212023227537,43.8529988919207,43.6260655940945,-62.0663372236763,42.4046317105613,-66.7241853444992,46.935384827602,-53.9859376667732
1996,"Spring","USA",-68.5300428899142,43.141677351244,43.6644239317582,-68.5707389807383,40.5436578554206,-70.1046460071441,44.256373141651,-67.4344224572114
1996,"Summer","Canada",-60.9871595994652,43.9508194832311,43.7261316421547,-61.5022154330776,42.4080664605211,-66.6426338622657,46.9550939539576,-53.3626156712691
1996,"Summer","USA",-68.5695810391474,43.0893848475309,43.6644239317582,-68.6136429203861,40.5164664275592,-70.1067312835461,44.2562066759058,-67.434613726419
1997,"Fall","Canada",-61.0226209385189,43.9905086040092,43.762644348651,-61.4358040740824,42.4069083841646,-66.6626531018727,47.1666122089298,-52.7692037123178
1997,"Fall","USA",-68.6376728595309,43.2680163697081,43.6961248423044,-68.6136429203861,40.9010988308933,-70.2578486823945,44.2562295943119,-67.4375764107465
1997,"Spring","Canada",-60.9579635296643,43.970359096451,43.822684568829,-60.9403895059474,42.4076629289286,-66.602858858932,46.976157968892,-53.6730728428128
1997,"Spring","USA",-68.5481778358679,43.0836856940052,43.5652780587241,-68.5707389807383,40.4228787996993,-70.0594477995983,44.2286967184135,-67.4349136648224
1997,"Summer","Canada",-61.1946246670211,43.9597288302404,43.7507963745797,-61.7948034218285,42.4029615857543,-66.7494639443595,46.9650758822932,-52.7642148109784
1997,"Summer","USA",-68.5681850228019,43.1887846815902,43.6961248423044,-68.6136429203861,40.6616354414443,-70.1096360898827,44.2562296274467,-67.4362240323715
1998,"Fall","Canada",-61.3444179647817,43.9316488596342,43.7381127259811,-61.5193038664516,42.4075496218335,-66.7123435492823,46.764715863403,-52.7265748069429
1998,"Fall","USA",-68.4670036598873,43.4497813024869,43.7864722131965,-68.5283184971604,41.1419573430876,-69.9003607900974,44.2564865944361,-67.4697613313487
1998,"Spring","Canada",-61.5126050178178,43.8957173502096,43.6641186526927,-62.0113315055629,42.404932952892,-66.7142692808085,46.9344606390306,-53.0920726593394
1998,"Spring","USA",-68.5704393620155,43.2394092293815,43.6961248423044,-68.6136429203861,40.7959363079542,-70.1003794320341,44.2562908438875,-67.4364625134744
1998,"Summer","Canada",-61.8838558155013,43.824286366131,43.5502322343567,-62.0850976578281,42.4050291553137,-66.7140322062673,46.9547174619828,-55.8711336923136
1998,"Summer","USA",-68.5224992551632,43.3294594788459,43.7270355196086,-68.5707389807383,40.8919868039023,-70.0882355253721,44.2563800331372,-67.4380866075468
1999,"Fall","Canada",-60.9772434219299,44.0636585059443,43.8957137833756,-61.1295245563184,42.4314135665396,-66.7243433583872,46.9338030030379,-52.463894518337
1999,"Fall","USA",-68.5189445363196,43.3754139220598,43.7270355196086,-68.5707389807383,41.1658694331601,-70.0858374134344,44.2562853718562,-67.4379740061527
1999,"Spring","Canada",-61.0938902418383,43.9982744358793,44.0527030359767,-61.1295245563184,42.4315834019797,-66.7115993739043,46.3156314471195,-53.3750324289404
1999,"Spring","USA",-68.5121682610347,43.270230448502,43.6961248423044,-68.5707389807383,40.890095898653,-70.0835385337322,44.2566813669483,-67.4360847616439
1999,"Summer","Canada",-61.3523190649309,44.0620072908643,43.8696153760247,-61.7418972041287,42.431009702801,-66.7136731771731,47.186797749038,-52.4307381267471
1999,"Summer","USA",-68.5176523548673,43.2816055865052,43.7270355196086,-68.5707389807383,40.8821693716279,-70.0888437455204,44.2563915155004,-67.4363277401363
2000,"Fall","Canada",-61.2110493513574,44.016480279575,43.7381127259811,-61.4358040740824,42.4311566531628,-66.6933455528716,47.1795936122155,-52.6747044785744
2000,"Fall","USA",-68.5521251816202,43.4358140307265,43.757152453289,-68.6136429203861,41.3614431739281,-70.0821059628688,44.2561561151518,-67.4713265014881
2000,"Spring","Canada",-61.103836102833,44.0026521884882,43.822684568829,-61.4358040740824,42.4094348364568,-66.687001076977,46.9402584341093,-52.4635566433746
2000,"Spring","USA",-68.5588824679662,43.2250734479172,43.6961248423044,-68.6136429203861,40.8954614407346,-70.1064695843973,44.2562693422429,-67.435863708831
2000,"Summer","Canada",-61.6959027109978,43.9639698249795,43.7261316421547,-62.0663372236763,42.4318640224601,-66.7302933289146,46.9310167738244,-53.6587092290534
2000,"Summer","USA",-68.5246040681411,43.3242446084627,43.7270355196086,-68.5707389807383,40.9125064601591,-70.0870897653058,44.2563486056045,-67.4373049566637
2001,"Fall","Canada",-61.4386128564804,43.93702141642,43.6477844561215,-61.759329923165,42.4061578536318,-66.6949974309586,46.9774823484999,-52.8008780990697
