"Region","Year","Threshold","Area_Threshold","Total_Area","Percent_Area_Used","Total_Abundance","n_cells","Area_Efficiency","Period"
"Canada",1990,50,38775493.2895,38775493.2895,100,1130382.85212418,55,34.3029737372911,"Before Warming"
"Canada",1991,50,30315385.6627,30315385.6627,100,1562601.89094226,43,19.4005817082556,"Before Warming"
"Canada",1992,50,44415565.0407,44415565.0407,100,998483.168708838,63,44.4830383051272,"Before Warming"
"Canada",1993,50,33135421.5383,33135421.5383,100,927750.05453423,47,35.7158928488939,"Before Warming"
"Canada",1994,50,38775493.2895,38775493.2895,100,791191.884502948,55,49.0089623629797,"Before Warming"
"Canada",1995,50,19740251.1292,19740251.1292,100,1031428.34254222,28,19.1387518793066,"Before Warming"
"Canada",1996,50,33135421.5383,33135421.5383,100,905715.236984513,47,36.5848118539123,"Before Warming"
"Canada",1997,50,32430412.5694,32430412.5694,100,1113933.73962577,46,29.1134125987557,"Before Warming"
"Canada",1998,50,40890520.1962,40890520.1962,100,816477.589192679,58,50.081619798814,"Before Warming"
"Canada",1999,50,30315385.6627,30315385.6627,100,848564.886712928,43,35.7254773764352,"Before Warming"
"Canada",2000,50,39480502.2584,39480502.2584,100,770569.299982509,56,51.2354985583985,"Before Warming"
"Canada",2001,50,36660466.3828,36660466.3828,100,844234.818375835,52,43.4244899462078,"Before Warming"
"Canada",2002,50,40185511.2273,40185511.2273,100,844121.186945102,57,47.6063293384833,"Before Warming"
"Canada",2003,50,35955457.4139,35955457.4139,100,943819.885665378,51,38.0956768976657,"Before Warming"
"Canada",2004,50,43710556.0718,43710556.0718,100,863544.360826463,62,50.6176150927167,"Before Warming"
"Canada",2005,50,30315385.6627,30315385.6627,100,1263230.28925451,43,23.9983049176175,"Before Warming"
"Canada",2006,50,26085331.8493,26085331.8493,100,1426004.0629434,37,18.2926069617625,"During Warming"
"Canada",2007,50,45825582.9785,45825582.9785,100,1408214.67760023,65,32.5416172032749,"During Warming"
"Canada",2008,50,41595529.1651,41595529.1651,100,1687381.98370758,59,24.6509264450629,"During Warming"
