"Stratum","Period","Avg_Dist_Mean.OPP","Avg_Dist_Med.OPP","Avg_Dist_Q5.OPP","Avg_Dist_Q95.OPP"
"EGOM","Before Warming",-68.9813801813249,-73.2959337426487,-120.200337037928,-15.4702385406578
"EGOM","During Warming",-71.1565008274016,-75.6526813227253,-121.239494654701,-15.1920419736426
"BOF","Before Warming",55.3961837315221,63.5771727910147,20.3683154459339,124.841815118112
"BOF","During Warming",53.0249452317052,57.384901950714,19.2694595808333,134.077532875785
"CapeBreton","Before Warming",625.646568221865,616.871987812556,544.166889808535,720.585350038369
"CapeBreton","During Warming",620.640676376866,610.334614240885,546.297024290539,715.329339167729
"HaliChan","Before Warming",950.299135877156,936.801091554878,859.210091783158,1067.25287655066
"HaliChan","During Warming",953.033082629365,941.30085078665,861.188922413249,1073.47072881766
"CapeCod","Before Warming",-175.169494608035,-178.310174841429,-253.173787497237,-140.376414636827
"CapeCod","During Warming",-179.381482418574,-184.715079276065,-254.165560311844,-141.591751283804
"Browns","Before Warming",145.063081044766,142.536974497968,38.7027075263435,237.113198509138
"Browns","During Warming",153.381245116838,155.82897758915,46.9300112396867,243.616839861092
"Gully","Before Warming",651.52011140241,658.342868655149,530.524196552221,784.247071834537
"Gully","During Warming",656.695184375757,666.653473432099,532.25362851996,799.85785479836
"GrandBanks","Before Warming",1115.00373056839,1111.87321927508,1013.29229721946,1226.32349111002
"GrandBanks","During Warming",1116.14068392381,1113.7986653456,1006.89791979848,1233.3417784681
"Nantucket","Before Warming",-224.876918419516,-222.950300833377,-314.364220210901,-148.794441905051
"Nantucket","During Warming",-211.114520940084,-202.743177094373,-312.68632596194,-148.618515028772
"Georges","Before Warming",33.4303663627803,43.4541672636814,-83.789069010541,99.9970815171335
"Georges","During Warming",31.7526395072179,44.6217847267412,-84.8527522867773,99.9898174223774
"Sable","Before Warming",463.870450561235,454.736008363908,346.683902389931,594.995450355425
"Sable","During Warming",472.08845361695,465.427273967805,347.330203027372,595.673309230983
"GBTail","Before Warming",1335.93828560369,1347.88790754138,1198.39821392994,1444.54162011511
"GBTail","During Warming",1341.98244962919,1352.723777497,1207.61665955977,1447.98785197558
