"YearGroup","Year","Season","Estimate_km_E_quantile_0.05","Estimate_km_E_quantile_0.5","Estimate_km_E_quantile_0.95","Estimate_km_N_quantile_0.05","Estimate_km_N_quantile_0.5","Estimate_km_N_quantile_0.95","Std_Dev_km_E_quantile_0.05","Std_Dev_km_E_quantile_0.5","Std_Dev_km_E_quantile_0.95","Std_Dev_km_N_quantile_0.05","Std_Dev_km_N_quantile_0.5","Std_Dev_km_N_quantile_0.95"
1,1990,"Spring",-386.116871558552,-136.116871558553,813.883128441447,4704.13016218116,4804.13016218116,5054.13016218116,83.9748038209536,64.1666666666666,132.688782989796,27.2196453119633,24.9987373418511,152.806035036036
2,1991,"Spring",-411.116871558552,113.883128441447,788.883128441447,4729.13016218116,4854.13016218116,5104.13016218116,50.1733107449678,54.1992908746335,142.828568570857,14.3789794667438,22.9445422748421,107.455652116197
3,1992,"Spring",-411.116871558553,38.8831284414477,963.883128441447,4729.13016218116,4854.13016218116,5229.13016218116,64.4440090546071,82.1195697588202,154.937874483597,30.0462606288663,24.795883904105,119.271780299271
4,1993,"Spring",-436.116871558553,63.8831284414471,788.883128441447,4729.13016218116,4854.13016218116,5129.13016218116,62.9027427900011,41.4874935518177,168.785583603349,17.4729227750545,25.3958558617245,90.1300267234606
5,1994,"Spring",-361.116871558553,38.8831284414476,863.883128441447,4729.13016218116,4829.13016218116,5154.13016218116,71.2315012313846,80.1419195722642,129.854959882403,18.2988656710868,27.9610118167812,111.304251327774
6,1995,"Spring",-386.116871558553,88.8831284414469,763.883128441447,4729.13016218116,4829.13016218116,5129.13016218116,71.9602864660974,39.292994209393,150.254623956143,19.232429998218,21.3363515857301,69.3926574580547
7,1996,"Spring",-361.116871558553,-111.116871558552,613.883128441447,4729.13016218116,4854.13016218116,5154.13016218116,75.2651038568727,63.7506189314379,158.51982637366,21.2845085221692,23.2071806198691,72.8652416062929
8,1997,"Spring",-361.116871558553,-11.116871558553,588.883128441447,4729.13016218116,4854.13016218116,5129.13016218116,64.6918687223353,89.4917608080501,114.89207715913,25.2712556798501,26.3654866992604,69.0277904802541
9,1998,"Spring",-386.116871558553,-86.1168715585526,763.883128441447,4729.13016218116,4854.13016218116,5079.13016218116,79.0645274124211,92.1389349478998,139.170522537764,21.0458854156647,26.3523138347364,60.3022689155528
10,1999,"Spring",-436.116871558553,113.883128441447,913.883128441447,4729.13016218116,4904.13016218116,5179.13016218116,66.5719023448945,89.7087740492207,139.890604806511,17.572001949842,22.8908256511181,83.023667065056
11,2000,"Spring",-361.116871558553,88.8831284414469,863.883128441447,4729.13016218116,4879.13016218116,5179.13016218116,52.5192364950233,85.5921147128057,118.612293893282,14.8115263606189,24.0159879406963,97.2536385027326
12,2001,"Spring",-361.116871558554,13.8831284414476,738.883128441447,4729.13016218116,4854.13016218116,5129.13016218116,42.3161501752765,80.3162153269465,149.303729140814,11.8145390656316,29.4134580617702,95.7743560287787
13,2002,"Spring",-461.116871558552,63.883128441447,863.883128441447,4729.13016218116,4854.13016218116,5179.13016218116,66.560521559728,79.5389968518714,136.115620415925,19.1419471688262,28.4533997897607,104.604836012355
14,2003,"Spring",-361.116871558554,-136.116871558553,563.883128441447,4729.13016218116,4854.13016218116,5129.13016218116,73.1229765324805,87.3902630778057,162.81050365689,19.9921070283834,22.0922652034186,77.8239401249104
15,2004,"Spring",-411.116871558553,-11.1168715585528,913.883128441447,4729.13016218116,4879.13016218116,5229.13016218116,46.4789242995187,107.748713929844,138.534902432272,15.9287396700036,28.3422445879436,113.561212523903
16,2005,"Spring",-386.116871558552,13.8831284414469,763.883128441447,4754.13016218116,4854.13016218116,5104.13016218116,48.2627488783318,78.9626557943754,168.414134522821,16.0864928597022,23.1704269893478,115.763549941031
17,2006,"Spring",-436.116871558553,63.883128441447,488.883128441447,4729.13016218116,4879.13016218116,5154.13016218116,37.0980137778643,48.3150435614356,62.1459669819467,15.7533866809391,23.2791578868132,81.0174410702767
18,2007,"Spring",-461.116871558553,88.8831284414473,963.883128441447,4729.13016218116,4879.13016218116,5254.13016218116,64.3435185845347,79.6215004463827,140.502345499672,13.1425748134553,28.8193607763175,111.5931463085
19,2008,"Spring",-461.116871558552,38.8831284414476,888.883128441447,4729.13016218116,4879.13016218116,5229.13016218116,43.3296909891139,81.2912676861432,146.989142731047,10.9261755949331,24.0789945761439,117.492746391194
20,2009,"Spring",-361.116871558553,13.8831284414474,838.883128441447,4729.13016218116,4879.13016218116,5154.13016218116,62.158156050806,82.8207721711787,137.175696525193,17.0764028809797,22.8300705476815,98.3333333333333
21,2010,"Spring",-436.116871558553,63.883128441447,1013.88312844145,4729.13016218116,4904.13016218116,5129.13016218116,42.043748259126,83.4847109936721,149.337552361938,15.7233018867611,21.177460860189,58.5623211164436
22,2011,"Spring",-411.116871558553,88.8831284414474,1013.88312844145,4729.13016218116,4904.13016218116,5179.13016218116,56.3286487204039,76.361381640595,125.292334928834,15.8492742720131,20.8575616692812,64.6474510657065
23,2012,"Spring",-436.116871558553,138.883128441447,1013.88312844145,4729.13016218116,4904.13016218116,5204.13016218116,28.3778616231566,66.4940948240116,107.664309477902,14.8647097502642,18.3333333333331,45.4182304429143
24,2013,"Spring",-411.116871558553,38.8831284414477,1013.88312844145,4729.13016218116,4904.13016218116,5179.13016218116,60.7195906348905,97.8054655472233,127.590332428805,23.3157401206511,23.804761428476,64.4008908903809
25,2014,"Spring",-436.116871558553,238.883128441447,938.883128441447,4754.13016218116,4929.13016218116,5204.13016218116,50.0403877287175,81.9040304381915,125.799212712926,12.5227066490511,19.5530875393944,66.4466064983873
26,2015,"Spring",-336.116871558553,188.883128441448,913.883128441447,4729.13016218116,4904.13016218116,5229.13016218116,61.9195266275329,94.8363822271779,91.8730459147652,13.5866095695712,22.383254924387,58.6011169611204
